,result,table,_time,x,y,z
,,0,2023-05-17T14:00:00.017Z,53,-10,4147
,,0,2023-05-17T14:00:00.037Z,40,-20,4145
,,0,2023-05-17T14:00:00.057Z,58,-48,4154
,,0,2023-05-17T14:00:00.077Z,75,-32,4156
,,0,2023-05-17T14:00:00.097Z,41,-15,4121
,,0,2023-05-17T14:00:00.117Z,70,-33,4124
,,0,2023-05-17T14:00:00.137Z,33,-31,4163
,,0,2023-05-17T14:00:00.157Z,43,-19,4147
,,0,2023-05-17T14:00:00.177Z,41,-21,4156
,,0,2023-05-17T14:00:00.197Z,46,-39,4117
,,0,2023-05-17T14:00:00.217Z,31,-49,4156
,,0,2023-05-17T14:00:00.237Z,50,-69,4175
,,0,2023-05-17T14:00:00.257Z,30,-29,4145
,,0,2023-05-17T14:00:00.277Z,54,-25,4137
,,0,2023-05-17T14:00:00.297Z,45,-30,4157
,,0,2023-05-17T14:00:00.317Z,62,-46,4145
,,0,2023-05-17T14:00:00.337Z,56,-22,4163
,,0,2023-05-17T14:00:00.357Z,56,-28,4135
,,0,2023-05-17T14:00:00.377Z,41,-14,4166
,,0,2023-05-17T14:00:00.397Z,54,-41,4163
,,0,2023-05-17T14:00:00.417Z,68,-13,4192
,,0,2023-05-17T14:00:00.437Z,24,-48,4144
,,0,2023-05-17T14:00:00.457Z,64,-30,4106
,,0,2023-05-17T14:00:00.477Z,55,-27,4137
,,0,2023-05-17T14:00:00.497Z,31,-20,4164
,,0,2023-05-17T14:00:00.517Z,71,-13,4114
,,0,2023-05-17T14:00:00.537Z,54,-15,4159
,,0,2023-05-17T14:00:00.557Z,62,-22,4137
,,0,2023-05-17T14:00:00.577Z,47,-29,4144
,,0,2023-05-17T14:00:00.597Z,61,-1,4160
,,0,2023-05-17T14:00:00.617Z,52,-19,4150
,,0,2023-05-17T14:00:00.637Z,41,-45,4171
,,0,2023-05-17T14:00:00.657Z,45,-35,4134
,,0,2023-05-17T14:00:00.677Z,48,-12,4161
,,0,2023-05-17T14:00:00.697Z,48,-14,4136
,,0,2023-05-17T14:00:00.717Z,24,-37,4127
