,result,table,_time,x,y,z
,,0,2023-05-16T23:00:02.2Z,62,-18,4106
,,0,2023-05-16T23:00:02.22Z,27,-18,4169
,,0,2023-05-16T23:00:02.24Z,52,-29,4122
,,0,2023-05-16T23:00:02.26Z,56,-42,4161
,,0,2023-05-16T23:00:02.28Z,41,-20,4177
,,0,2023-05-16T23:00:02.3Z,45,-37,4145
,,0,2023-05-16T23:00:02.32Z,43,-26,4154
,,0,2023-05-16T23:00:02.34Z,37,-27,4152
,,0,2023-05-16T23:00:02.36Z,62,-28,4126
,,0,2023-05-16T23:00:02.38Z,58,-27,4123
,,0,2023-05-16T23:00:02.4Z,61,-20,4127
,,0,2023-05-16T23:00:02.42Z,34,-2,4162
,,0,2023-05-16T23:00:02.44Z,39,-32,4155
,,0,2023-05-16T23:00:02.46Z,49,-42,4132
,,0,2023-05-16T23:00:02.48Z,59,-40,4142
,,0,2023-05-16T23:00:02.5Z,24,-24,4141
,,0,2023-05-16T23:00:02.52Z,31,-55,4124
,,0,2023-05-16T23:00:02.54Z,50,-31,4156
,,0,2023-05-16T23:00:02.56Z,38,-27,4160
,,0,2023-05-16T23:00:02.58Z,54,-28,4138
,,0,2023-05-16T23:00:02.6Z,46,-36,4177
,,0,2023-05-16T23:00:02.62Z,60,-29,4119
,,0,2023-05-16T23:00:02.64Z,14,-29,4172
,,0,2023-05-16T23:00:02.66Z,37,-27,4161
,,0,2023-05-16T23:00:02.68Z,66,-36,4131
,,0,2023-05-16T23:00:02.7Z,36,-36,4138
,,0,2023-05-16T23:00:02.72Z,38,-36,4128
,,0,2023-05-16T23:00:02.74Z,42,-29,4112
,,0,2023-05-16T23:00:02.76Z,37,-31,4137
,,0,2023-05-16T23:00:02.78Z,86,-27,4122
,,0,2023-05-16T23:00:02.8Z,64,-27,4127
,,0,2023-05-16T23:00:02.82Z,42,-50,4123
,,0,2023-05-16T23:00:02.84Z,54,-44,4148
,,0,2023-05-16T23:00:02.86Z,20,-31,4104
,,0,2023-05-16T23:00:02.88Z,48,-4,4131
,,0,2023-05-16T23:00:02.9Z,34,-12,4134
,,0,2023-05-16T23:00:02.92Z,32,-31,4130
,,0,2023-05-16T23:00:02.94Z,46,-37,4131
,,0,2023-05-16T23:00:02.96Z,33,-42,4153
,,0,2023-05-16T23:00:02.98Z,56,-4,4139
,,0,2023-05-16T23:00:03Z,53,-32,4129
,,0,2023-05-16T23:00:03.02Z,73,-17,4142
,,0,2023-05-16T23:00:03.04Z,24,-9,4129
,,0,2023-05-16T23:00:03.06Z,46,-41,4145
,,0,2023-05-16T23:00:03.08Z,33,-36,4120
,,0,2023-05-16T23:00:03.1Z,40,-23,4168
,,0,2023-05-16T23:00:03.12Z,37,-28,4123
,,0,2023-05-16T23:00:03.14Z,35,-10,4114
,,0,2023-05-16T23:00:03.16Z,60,-20,4134
,,0,2023-05-16T23:00:03.18Z,48,-36,4147
,,0,2023-05-16T23:00:03.2Z,51,-9,4157
,,0,2023-05-16T23:00:03.22Z,56,-45,4172
,,0,2023-05-16T23:00:03.24Z,65,-52,4154
,,0,2023-05-16T23:00:03.26Z,44,-51,4137
,,0,2023-05-16T23:00:03.28Z,41,-39,4157
,,0,2023-05-16T23:00:03.3Z,71,-22,4144
,,0,2023-05-16T23:00:03.32Z,52,-36,4158
,,0,2023-05-16T23:00:03.34Z,36,-38,4142
