,result,table,_time,x,y,z
,,0,2023-05-16T07:00:00.014Z,206,123,4144
,,0,2023-05-16T07:00:00.034Z,237,66,4304
,,0,2023-05-16T07:00:00.054Z,-111,-129,4372
,,0,2023-05-16T07:00:00.074Z,-107,-117,4220
,,0,2023-05-16T07:00:00.094Z,-206,-142,4144
,,0,2023-05-16T07:00:00.114Z,91,-108,4233
,,0,2023-05-16T07:00:00.134Z,258,224,4142
,,0,2023-05-16T07:00:00.154Z,194,-5,4092
,,0,2023-05-16T07:00:00.174Z,-209,-146,3959
,,0,2023-05-16T07:00:00.194Z,-133,-218,4123
,,0,2023-05-16T07:00:00.214Z,-105,-122,4166
,,0,2023-05-16T07:00:00.234Z,482,236,4034
,,0,2023-05-16T07:00:00.254Z,151,214,4064
,,0,2023-05-16T07:00:00.274Z,-46,-231,3944
,,0,2023-05-16T07:00:00.294Z,-24,-144,3840
,,0,2023-05-16T07:00:00.314Z,87,44,4106
,,0,2023-05-16T07:00:00.334Z,-7,-82,4452
,,0,2023-05-16T07:00:00.354Z,107,-91,4349
,,0,2023-05-16T07:00:00.374Z,106,15,4014
,,0,2023-05-16T07:00:00.394Z,-121,-61,4262
,,0,2023-05-16T07:00:00.414Z,29,-53,4082
,,0,2023-05-16T07:00:00.434Z,95,-20,4381
,,0,2023-05-16T07:00:00.454Z,104,101,4261
,,0,2023-05-16T07:00:00.474Z,187,88,4156
,,0,2023-05-16T07:00:00.494Z,-7,-127,4118
,,0,2023-05-16T07:00:00.514Z,-104,-41,4146
,,0,2023-05-16T07:00:00.534Z,73,-48,3967
,,0,2023-05-16T07:00:00.554Z,192,41,4206
,,0,2023-05-16T07:00:00.574Z,7,-4,3946
,,0,2023-05-16T07:00:00.594Z,-27,-143,4110
,,0,2023-05-16T07:00:00.614Z,-62,-102,4114
,,0,2023-05-16T07:00:00.634Z,101,42,4122
,,0,2023-05-16T07:00:00.654Z,133,129,4109
,,0,2023-05-16T07:00:00.674Z,6,17,4182
,,0,2023-05-16T07:00:00.694Z,21,-165,4201
,,0,2023-05-16T07:00:00.714Z,-47,96,4268
,,0,2023-05-16T07:00:00.734Z,206,41,4162
