_time,Unnamed: 0,result,table,x,y,z
2023-05-16 07:00:00+00:00,,,0.0,41.78228283367831,-31.493484453940486,4134.26467249783
2023-05-16 08:00:00+00:00,,,0.0,42.43277750567701,-31.245864686762545,4133.883599002627
2023-05-16 09:00:00+00:00,,,0.0,43.45626279028383,-29.91728022955779,4132.9375778539015
2023-05-16 10:00:00+00:00,,,0.0,42.504877316308146,-30.788634796342848,4133.23772606945
2023-05-16 11:00:00+00:00,,,0.0,44.91055866077139,-28.336414448986403,4132.920308111566
2023-05-16 12:00:00+00:00,,,0.0,43.34034951240519,-30.659878309671324,4133.800400077793
2023-05-16 13:00:00+00:00,,,0.0,45.418731709488256,-27.980855467402552,4133.092556943996
2023-05-16 14:00:00+00:00,,,0.0,46.526348556944015,-27.6161393249433,4132.76754346956
2023-05-16 15:00:00+00:00,,,0.0,46.75457989574583,-27.44567267305692,4133.003788532041
2023-05-16 16:00:00+00:00,,,0.0,45.028169014084504,-28.887323943661972,4130.605633802817
2023-05-16 17:00:00+00:00,,,0.0,47.072922693488806,-27.367456273087363,4133.640187591793
2023-05-16 18:00:00+00:00,,,0.0,47.24606450320959,-27.0738872139464,4134.839114666192
2023-05-16 19:00:00+00:00,,,0.0,46.898584039272876,-27.29912726948894,4136.080610688722
2023-05-16 20:00:00+00:00,,,0.0,47.15267056703668,-27.08123484528285,4136.901202366917
2023-05-16 21:00:00+00:00,,,0.0,45.393549607490776,-28.589442586833275,4137.3810093412185
2023-05-16 22:00:00+00:00,,,0.0,42.222703485135284,-32.65771628994544,4138.163701146866
2023-05-16 23:00:00+00:00,,,0.0,51.48,-20.04,4141.84
2023-05-17 00:00:00+00:00,,,0.0,44.072605644384836,-29.718376251509603,4137.390125944024
2023-05-17 01:00:00+00:00,,,0.0,44.255811884051525,-29.661570376632334,4137.452865342261
2023-05-17 02:00:00+00:00,,,0.0,44.76519220291112,-29.125857601939266,4137.410742680499
2023-05-17 03:00:00+00:00,,,0.0,43.53154886348472,-30.016291535074064,4136.37570059161
2023-05-17 04:00:00+00:00,,,0.0,44.138593564837436,-29.441553919338624,4135.246286218148
2023-05-17 05:00:00+00:00,,,0.0,44.02061712095637,-29.640902228832772,4137.299992758104
2023-05-17 06:00:00+00:00,,,0.0,44.96401857464616,-29.013641798515142,4138.328031588021
2023-05-17 07:00:00+00:00,,,0.0,45.05680799532307,-28.614092035299684,4138.8309623896885
2023-05-17 08:00:00+00:00,,,0.0,46.008684332040794,-28.176807659569732,4140.5728376792085
2023-05-17 09:00:00+00:00,,,0.0,45.79539784061925,-28.753004851104976,4141.88689645975
2023-05-17 10:00:00+00:00,,,0.0,46.227931935717066,-27.255168770505477,4142.9394150030585
2023-05-17 11:00:00+00:00,,,0.0,45.018036641629706,-29.37858002540843,4144.031370495019
2023-05-17 12:00:00+00:00,,,0.0,45.34999109508226,-28.877112135176652,4144.28984950689
2023-05-17 13:00:00+00:00,,,0.0,46.99992216254684,-25.42602662040898,4143.801653489898
2023-05-17 14:00:00+00:00,,,0.0,47.64073450923151,-25.110544085039056,4145.397985447981
2023-05-17 15:00:00+00:00,,,0.0,47.82945231775919,-25.104895922012453,4146.685490287724
2023-05-17 16:00:00+00:00,,,0.0,48.08153189218041,-25.040693666043946,4147.928498354239
2023-05-17 17:00:00+00:00,,,0.0,48.09689918171306,-24.79754625100062,4148.434753846838
2023-05-17 18:00:00+00:00,,,0.0,48.07129039789214,-24.62649390210008,4149.41031028694
2023-05-17 19:00:00+00:00,,,0.0,48.36712383666563,-24.70023823306764,4149.85162198869
2023-05-17 20:00:00+00:00,,,0.0,48.46313478055424,-24.704294410317704,4150.437351641326
2023-05-17 21:00:00+00:00,,,0.0,47.492911510727325,-26.700586441734178,4150.908155657438
2023-05-17 22:00:00+00:00,,,0.0,45.40798800740064,-29.85123492565926,4150.318946300796
2023-05-17 23:00:00+00:00,,,0.0,44.69975719659298,-29.774615098260373,4149.092576438624
2023-05-18 00:00:00+00:00,,,0.0,45.83691309525135,-27.814093504123218,4148.794039418187
2023-05-18 01:00:00+00:00,,,0.0,46.5216902412006,-27.584520409924128,4148.345652210217
2023-05-18 02:00:00+00:00,,,0.0,46.30075848569776,-27.850549401663773,4148.1133391165085
2023-05-18 03:00:00+00:00,,,0.0,44.96757075144059,-28.48958941103906,4146.602169358916
2023-05-18 04:00:00+00:00,,,0.0,46.135094188287454,-27.59710695467154,4145.633378635802
2023-05-18 05:00:00+00:00,,,0.0,46.83387696359807,-26.610136528064103,4144.620577563166
2023-05-18 06:00:00+00:00,,,0.0,46.8260647113128,-26.744919750408755,4143.303307862569
2023-05-18 07:00:00+00:00,,,0.0,46.94545171581978,-26.493280122725302,4141.484525940172
2023-05-18 08:00:00+00:00,,,0.0,47.677144334884964,-25.823675970880537,4141.074383658397
2023-05-18 09:00:00+00:00,,,0.0,47.58853028660384,-25.27408334028299,4141.139254440831
2023-05-18 10:00:00+00:00,,,0.0,47.537033639653764,-25.74948992922942,4141.303112682555
2023-05-18 11:00:00+00:00,,,0.0,48.131831760000445,-25.45118959542074,4141.088286504197
2023-05-18 12:00:00+00:00,,,0.0,48.13905307347994,-25.20365314576441,4141.475086880369
2023-05-18 13:00:00+00:00,,,0.0,49.23452701764134,-23.91081539102653,4141.353526878733
2023-05-18 14:00:00+00:00,,,0.0,50.07461127227057,-23.331466106498617,4142.075967234615
2023-05-18 15:00:00+00:00,,,0.0,50.24746797031164,-23.173603416500093,4142.2256638399995
