,result,table,_start,_stop,_time,_value,_field,_measurement,deviceId,hardwareVersion,location,softwareVersion
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:42:20.036Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:42:22.513Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:42:24.995Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:42:27.48Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:42:29.965Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:42:32.441Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:42:34.933Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:42:37.414Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:42:39.894Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:42:42.385Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:42:44.859Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:42:47.345Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:42:49.834Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:42:52.314Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
