epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
82,133.342,0.01375,1,1,1e-05,0.000283085,0.000283085,0.000283085
83,134.921,0.00927,1,1,1e-05,0.000268938,0.000268938,0.000268938
84,136.473,0.02351,1,1,1e-05,0.000254791,0.000254791,0.000254791
85,137.96,0.00223,1,1,0,0.000240644,0.000240644,0.000240644
86,139.491,0.02279,1,1,0,0.000226497,0.000226497,0.000226497
87,141.041,0.00813,1,1,0,0.000212349,0.000212349,0.000212349
88,142.618,0.00338,1,1,0,0.000198202,0.000198202,0.000198202
89,144.045,0.00596,1,1,0,0.000184055,0.000184055,0.000184055
90,145.649,0.01348,1,1,0,0.000169908,0.000169908,0.000169908
91,154.124,0.01111,1,1,0,0.000155761,0.000155761,0.000155761
92,155.623,0.00527,1,1,0,0.000141614,0.000141614,0.000141614
93,157.251,0.00526,1,1,0,0.000127467,0.000127467,0.000127467
94,158.899,0.00782,1,1,0,0.00011332,0.00011332,0.00011332
95,160.499,0.05934,1,1,0,9.91726e-05,9.91726e-05,9.91726e-05
96,162.161,0.00914,1,1,0,8.50255e-05,8.50255e-05,8.50255e-05
97,163.782,0.0052,1,1,0,7.08784e-05,7.08784e-05,7.08784e-05
98,165.407,0.00262,1,1,0,5.67313e-05,5.67313e-05,5.67313e-05
99,167.127,0.1285,1,1,0,4.25842e-05,4.25842e-05,4.25842e-05
100,168.679,0.02098,1,1,0,2.84371e-05,2.84371e-05,2.84371e-05
